District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
West Covina Unified (Los Angeles),Los Angeles,Unified School District,13565,68.2,69.4,7.2,91.3,23.3,0.7,14.3,40.35,52.16,14455,80671,10
San Bruno Park Elementary (San Mateo),San Mateo,Elementary School District,2505,37.1,49.12,31.7,N/A,24.8,3,11.6,40.67,49.19,12670,71509,10
Duarte Unified (Los Angeles),Los Angeles,Unified School District,4761,61.5,63.75,17.1,95.5,20.3,2.2,8.2,41.12,54.69,13336,81152,10
Grenada Elementary (Siskiyou),Siskiyou,Elementary School District,225,56.2,56.22,N/A,N/A,20.3,2.9,5,41.72,43.71,10443,76081,10
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,10363,49.9,51.47,12.2,91.8,18.8,3.7,10.4,42.06,56.06,11518,69127,10
Trinity Alps Unified (Trinity),Trinity,Unified School District,744,59.2,59.3,0.7,85.3,16.5,7.7,21.1,42.21,51.69,15347,76081,10
McSwain Union Elementary (Merced),Merced,Elementary School District,876,39.6,42.01,10.7,N/A,19,1.1,4.2,42.53,60.75,10323,72883,10
Arcata Elementary (Humboldt),Humboldt,Elementary School District,1129,54.7,55.02,2.4,N/A,17.1,1.7,4.6,42.58,56.08,13191,60918,10
Menifee Union Elementary (Riverside),Riverside,Elementary School District,11949,42.1,44.12,7,N/A,22.8,1.5,9,43.12,55.98,10100,83069,10
Colfax Elementary (Placer),Placer,Elementary School District,361,50.7,50.69,0.6,N/A,19,2.7,11.9,43.15,45.56,12250,76081,10
Sanger Unified (Fresno),Fresno,Unified School District,12305,65.9,68.02,15.1,95.4,19.9,3.6,7.5,43.19,52.75,12173,71234,10
San Jose Unified (Santa Clara),Santa Clara,Unified School District,31114,42.7,48.81,22.9,90.6,21.2,3.1,12.1,43.56,54.91,12363,76442,10
South San Francisco Unified (San Mateo),San Mateo,Unified School District,8485,41.3,48.72,20.8,85,20.2,5.4,12.9,43.94,51.93,12967,78059,10
Springville Union Elementary (Tulare),Tulare,Elementary School District,320,59.7,60,5.6,N/A,20,3.6,11.2,44.06,52.48,10264,70081,10
Redwood City Elementary (San Mateo),San Mateo,Elementary School District,8725,61.3,65.18,34.2,N/A,21.5,1.6,9.7,46.13,54.21,13559,81144,10
Santa Cruz City High (Santa Cruz),Santa Cruz,High School District,4617,38.3,39.61,7.3,89.4,22.4,4.1,14.6,46.36,63.96,14708,76081,10
Capay Joint Union Elementary (Glenn),Glenn,Elementary School District,199,50.8,50.75,8,N/A,19.9,0.9,3.3,47.45,47.1,8453,76081,10
Pioneer Union Elementary (Kings),Kings,Elementary School District,1605,43.1,44.11,7.3,N/A,22.9,2.8,6,48,60.93,12816,75692,10
Arcohe Union Elementary (Sacramento),Sacramento,Elementary School District,455,58.2,61.56,20.9,N/A,18.3,3.1,8.6,49.83,47.04,10796,69077,10
Harmony Union Elementary (Sonoma),Sonoma,Elementary School District,652,36.7,38.34,4.1,N/A,18.6,0.4,9.3,50.33,67.11,18545,72202,10
Saint Helena Unified (Napa),Napa,Unified School District,1267,38.9,42.46,17.3,90.1,14.7,3,8,50.41,66.89,26594,127866,10
Petaluma City Elementary (Sonoma),Sonoma,Elementary School District,2463,33.9,36.16,19.1,84.5,18.5,3,7.9,51,54.19,14708,76081,10
Rincon Valley Union Elementary (Sonoma),Sonoma,Elementary School District,3307,34.8,39.32,13.3,N/A,18.4,3,7.4,51.07,60.24,12143,69193,10
Alview-Dairyland Union Elementary (Madera),Madera,Elementary School District,402,63.4,65.17,34.3,N/A,23.5,1.9,3.3,51.56,53.13,10619,64291,10
Campbell Union (Santa Clara),Santa Clara,Elementary School District,7273,43.7,51.12,28,N/A,20.1,2.2,5.2,51.64,57.49,12640,89155,10
Western Placer Unified (Placer),Placer,Unified School District,9334,34.4,36.25,7.3,88.3,22.5,2.1,1.1,51.77,60.69,10992,79810,10
Sequoia Union High (San Mateo),San Mateo,High School District,10246,39.3,42.05,15.3,85.6,18.3,6,16.6,52.34,69.81,19398,105215,10
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,5679,58.4,62.53,20.5,93,19.7,1,7.5,52.51,61.62,12874,80428,10
Pleasant Grove Joint Union (Sutter),Sutter,Elementary School District,182,33,32.97,2.7,N/A,18.2,2.7,7,53.39,61.86,10743,76081,10
Nevada City Elementary (Nevada),Nevada,Elementary School District,801,38.6,39.01,0.9,N/A,20.9,2.3,14.6,54.75,67.6,11717,68110,10
San Mateo-Foster City (San Mateo),San Mateo,Elementary School District,11724,30,40.05,26.9,N/A,21.5,1.6,6,55.56,62.15,12118,85329,10
Ackerman Charter (Placer),Placer,Elementary School District,593,30.9,31.53,3.7,N/A,22.5,2.9,5.9,57.34,71.35,8824,65667,10
Washington Union Elementary (Monterey),Monterey,Elementary School District,893,10.6,12.21,2.6,N/A,21.8,0.5,4.2,57.46,71.82,9598,67321,10
Millbrae Elementary (San Mateo),San Mateo,Elementary School District,2383,25.9,39.53,24,N/A,23.5,1.6,9.7,58.17,63.37,11016,82192,10
McCabe Union Elementary (Imperial),Imperial,Elementary School District,1365,29.7,37.58,14.6,N/A,24.4,1.6,6.6,58.48,67.11,10275,79557,10
Rocklin Unified (Placer),Placer,Unified School District,14088,17.1,19.11,3.9,95,20.9,3.3,8.1,62.9,71.19,11036,81298,10
Dunham Elementary (Sonoma),Sonoma,Elementary School District,168,22.8,28.14,8.9,N/A,17,0,6.2,65,71.6,12673,68660,10
Davis Joint Unified (Yolo),Yolo,Unified School District,8587,21.2,26.41,10.5,95.1,19.1,2.5,7.4,65.56,72.03,12865,70675,10
Plaza Elementary (Glenn),Glenn,Elementary School District,207,57.5,58.45,14,N/A,22.7,1.4,1.9,65.69,62.04,7971,59881,10
