District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
Burrel Union Elementary (Fresno),Fresno,Elementary School District,122,91.7,94.17,61.5,N/A,11.1,1.5,6,27.17,23.91,14462,76081,2
Owens Valley Unified (Inyo),Inyo,Unified School District,78,64.1,64.1,10.3,84.5,11.1,0,25.6,28.57,38.78,26921,74660,2
SBE - Magnolia Science Academy Santa Ana (Orange),Orange,State Board of Education Charter,674,79.4,83.98,36.4,N/A,20.1,2.5,9.9,28.61,34.22,14708,76081,2
Dehesa Elementary (San Diego),San Diego,Elementary School District,11706,35.3,36.45,3.7,N/A,24.2,0.1,5.8,31.52,31.52,28253,76081,2
Browns Elementary (Sutter),Sutter,Elementary School District,132,48.1,48.85,8.3,N/A,16.5,0.7,0,31.58,53.61,12750,46995,2
SBE - Celerity Himalia (Los Angeles),Los Angeles,State Board of Education Charter,702,97.2,97.72,40.6,N/A,23.4,0.8,10.1,35.27,40.14,14708,76081,2
SBE - Baypoint Preparatory Academy (Riverside),Riverside,State Board of Education Charter,445,74.4,75.96,16,N/A,16.4,2.3,22.9,36.7,47.71,14708,76081,2
Coffee Creek Elementary (Trinity),Trinity,Elementary School District,9,55.6,55.56,N/A,N/A,9,0,18.2,37.2,48.3,34024,76081,2
SBE - Latitude 37.8 High (Alameda),Alameda,State Board of Education Charter,104,75,78.85,17.3,N/A,26,9.1,7.7,37.2,48.3,14708,76081,2
Trinity County Office of Education (Trinity),Trinity,County Office of Education (COE),102,87.3,87.25,1,N/A,19.6,0.6,66,37.2,48.3,14708,76081,2
Willow Grove Union Elementary (San Benito),San Benito,Elementary School District,13,38.5,100,76.9,N/A,6.5,0,0,37.2,48.3,25243,76081,2
Guerneville Elementary (Sonoma),Sonoma,Elementary School District,1341,36.6,37.55,2.3,N/A,13.7,1.7,15.9,44.86,54.35,19965,64950,2
Hot Springs Elementary (Tulare),Tulare,Elementary School District,19,100,100,18.4,N/A,12.7,4,16,50,50,17395,76081,2
Winship-Robbins (Sutter),Sutter,Elementary School District,2853,42.3,43.88,6.5,N/A,32.2,0,1.1,52.38,59.52,15695,76081,2
Canyon Elementary (Contra Costa),Contra Costa,Elementary School District,68,8.8,8.82,N/A,N/A,34,0,1.4,57.78,75.56,13556,76081,2
SBE - Rocketship Futuro Academy (Contra Costa),Contra Costa,State Board of Education Charter,424,74.1,85.85,54.7,N/A,34.5,0.5,13,63.51,51.35,14708,76081,2
SBE - The New School of San Francisco (San Francisco),San Francisco,State Board of Education Charter,235,11.5,16.17,9.4,N/A,12.8,0,2.1,70.65,80.43,14708,76081,2
SBE - Ross Valley Elementary (Marin),Marin,State Board of Education Charter,161,29.4,30.63,12.4,N/A,20.1,0.6,14.9,73.4,82.98,14708,76081,2
Bogus Elementary (Siskiyou),Siskiyou,Elementary School District,18,94.4,94.44,N/A,N/A,0,0,45.8,21.43,28.57,13222,40756,1
Gazelle Union Elementary (Siskiyou),Siskiyou,Elementary School District,34,100,100,18.4,N/A,18.9,2.4,12.5,22.73,59.09,12818,45768,1
Bradley Union Elementary (Monterey),Monterey,Elementary School District,440,38.9,40.91,5.7,N/A,9.7,1.3,8.8,33.33,23.53,19688,76081,1
Trinity Center Elementary (Trinity),Trinity,Elementary School District,14,57.1,57.14,N/A,N/A,14,0,7.1,36.36,45.45,23090,76081,1
Jefferson Elementary (San Benito),San Benito,Elementary School District,8,87.5,87.5,25,N/A,8,redacted,redacted,37.2,48.3,31197,76081,1
Lincoln Elementary (Marin),Marin,Elementary School District,4,0,0,N/A,N/A,0,redacted,redacted,37.2,48.3,86414,76081,1
SBE - KIPP Bayview Elementary (San Francisco),San Francisco,State Board of Education Charter,140,90,90,2.1,N/A,35,7.4,37.1,37.2,48.3,14708,76081,1
SBE - KIPP Navigate College Prep (Santa Clara),Santa Clara,State Board of Education Charter,178,75.3,82.02,14.6,N/A,22.3,7.1,11.3,37.2,48.3,14708,76081,1
Forks of Salmon Elementary (Siskiyou),Siskiyou,Elementary School District,9,100,100,18.4,N/A,9,3.5,13.1,37.3,48.3,31008,76081,1
SBE - Baypoint Preparatory Academy San Diego (San Diego),San Diego,State Board of Education Charter,176,30.4,32.91,4,N/A,18.3,3.6,16.7,50,47.73,14708,76081,1
